DATAFLOW,LAST UPDATE,freq,n_item,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2015,9.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2016,7.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2017,7.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2018,6.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2019,5.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2020,5.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2021,5.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2022,4.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,CZ,2023,6.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2015,7.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2016,6.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2017,4.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2018,4.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2019,3.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2020,6.8,b
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2021,7.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2022,8.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DE,2023,9.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2015,2.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2016,2.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2017,3.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2018,3.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2019,3.3,u
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2020,3.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2021,3.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2022,3.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,DK,2023,4.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2015,11.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2016,10.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2017,9.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2018,8.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2019,8.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2020,9.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2021,8.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EA20,2022,8.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2015,8.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2016,6.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2017,9.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2018,7.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2019,6.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2020,5.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2021,5.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2022,6.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EE,2023,5.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2015,27.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2016,28.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2017,25.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2018,22.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2019,21.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2020,21.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2021,20.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2022,20.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EL,2023,20.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2015,10.5,
